"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C20,C26","1µ, 6.3V","","~","4","","",""
"C3,C4,C21","1µ","","~","3","","",""
"C5,C17","0.1µ, 6V","","~","2","","",""
"C7,C12","0.1µ","","~","2","","",""
"C8,C13","10µ","","~","2","","",""
"C9,C14","47µ, 25V","","~","2","","",""
"C10,C15,C23,C24","10µ, 25V","","~","4","","",""
"C11,C16","0.1µ, 25V","","~","2","","",""
"C22,C25",".1µ, 25V","","~","2","","",""
"D1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1","","",""
"D2,D4","D_Schottky","","~","2","","",""
"D3","CLMVC-FKA-CL1D1L71BB7C3C3","Com_Board_Parts_Lib:LED_CLMVC-FKA-CL1D1L71BB7C3C3","","1","","",""
"J1,J5,J9","Conn_01x26_Socket","","~","3","","",""
"J2","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J7","XBP9B-DMUTB002","Com_Board_Parts_Lib:SULLINS_NPPN101BFCN-RC","","1","","",""
"J8","Conn_01x02_Pin","","~","1","","",""
"JP2,JP3","B04B-PASK-1","Com_Board_Parts_Lib:B04B-PASK-1","","2","","",""
"L1,L2","3.3µ","","~","2","","",""
"Q1","NMOS","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","1","","",""
"R1,R16","R","","~","2","","",""
"R2,R3","5.1k","","~","2","","",""
"R4,R6,R9,R20","100k","","~","4","","",""
"R7","31.6k","","~","1","","",""
"R8,R11","10k","","~","2","","",""
"R10","37.4k","","~","1","","",""
"R12,R13","50k","","~","2","","",""
"R14,R15","2.2k","","~","2","","",""
"R17,R18,R19","330","","~","3","","",""
"S1,S2","TS04-66-50-BK-160-SMT-TR","TS04-66-50-BK-160-SMT-TR:SW_TS04-66-50-BK-160-SMT-TR","","2","","",""
"U1","Particle_B404X","Com_Board_Parts_Lib:b404x","","1","","",""
"U2,U3","AP62301WU-7","Com_Board_Parts_Lib:SOT95P280X100-6N","","2","","",""
